Diameter1,Diameter2,Diameter3,Diameter4,Length1,Length2
10,9.99,9.99,14.99,49.92,60.03
10,9.99,9.99,15,49.93,60.03
10,10,9.99,14.99,49.91,60.02
10,9.99,9.99,14.99,49.92,60.02
10,9.99,9.99,14.99,49.92,60
10,10,9.99,15,49.94,60.05
10,9.99,9.99,15,49.89,59.98
10,10,9.99,14.99,49.93,60.01
10,10,9.99,14.99,49.94,60.02
10,10,9.99,15,49.86,59.96
10,9.99,9.99,14.99,49.9,59.97
10,10,10,14.99,49.92,60
10,10,9.99,14.98,49.91,60
10,10,10,15,49.93,59.98
10,9.99,9.98,14.98,49.9,59.99
9.99,9.99,9.99,14.99,49.88,59.98
10.01,10.01,10.01,15.01,49.87,59.97
10,10,9.99,14.99,49.81,59.91
10.01,10,10,15.01,50.07,60.13
10.01,10,10,15,49.93,60
10,10,10,14.99,49.9,59.96
10.01,10.01,10.01,15,49.85,59.93
10,9.99,9.99,15,49.83,59.98
10.01,10.01,10,14.99,49.9,59.98
10.01,10.01,10,15,49.87,59.96
10,9.99,9.99,15,49.87,60.02
9.99,9.99,9.99,14.98,49.92,60.03
9.99,9.98,9.98,14.99,49.93,60.03
9.99,9.99,9.98,14.99,49.89,60.01
10,10,9.99,14.99,49.89,60.01
9.99,9.99,9.99,15,50.04,60.15
10,10,10,14.99,49.84,60.03
10,10,9.99,14.99,49.89,60.01
10,9.99,9.99,15,49.88,60.01
10,10,9.99,14.99,49.9,60.04
9.9,9.89,9.91,14.88,49.99,60.14
10,9.99,9.99,15,49.91,60.04
9.99,9.99,9.99,14.98,49.92,60.04
10.01,10.01,10,15,49.88,60
10,9.99,9.99,14.99,49.95,60.01
