Diameter1,Diameter2,Diameter3,Diameter4,Length1,Length2
9.99,9.97,9.96,14.97,49.89,60.02
9.96,9.96,9.95,14.94,49.84,60.02
9.97,9.96,9.95,14.95,49.85,60
10,9.99,9.99,14.99,49.89,60.06
10,9.99,9.99,14.99,49.91,60.09
9.99,9.99,9.98,14.99,49.91,60.08
10,9.99,9.99,14.98,49.91,60.08
10,9.99,9.99,14.99,49.89,60.09
9.96,9.95,9.95,14.95,50,60.15
9.99,9.98,9.98,14.99,49.86,60.06
10,9.99,9.98,14.99,49.94,60.08
10,9.99,9.99,14.99,49.92,60.05
9.97,9.96,9.96,14.96,49.9,60.02
9.97,9.96,9.96,14.96,49.91,60.02
9.97,9.97,9.96,14.97,49.9,60.01
9.97,9.97,9.96,14.97,49.89,60.04
9.98,9.97,9.96,14.96,50.01,60.13
9.98,9.97,9.97,14.96,49.93,60.06
9.98,9.98,9.97,14.98,49.93,60.02
9.98,9.97,9.97,14.97,49.94,60.06
9.98,9.97,9.97,14.97,49.93,60.06
9.98,9.97,9.97,14.97,49.91,60.02
9.98,9.97,9.96,14.98,49.92,60.06
10,9.99,9.98,14.98,49.88,60
9.99,9.99,9.99,14.98,49.91,60.04
10,9.99,9.99,14.99,49.85,60.01
10,10,9.99,14.99,49.91,60.05
10,9.99,9.99,15,49.92,60.04
10,9.99,9.99,14.99,49.89,60.01
10,10,9.99,14.99,49.88,60
10,10,9.99,14.99,49.91,60.02
10,10,9.99,14.99,49.93,60.01
10,9.99,9.99,14.99,49.9,59.97
10,10,10,15,49.93,59.98
10,10,9.99,14.99,49.81,59.91
10,10,10,14.99,49.9,59.96
10.01,10.01,10,15,49.87,59.96
9.99,9.99,9.98,14.99,49.89,60.01
10,10,10,14.99,49.84,60.03
10,9.99,9.99,15,49.91,60.04
