RWT,BWT
210,200
211,200
208,199
208,200
209,203
210,203
211,202
211,201
210,201
213,203
210,200
211,203
210,201
210,201
209,202
211,202
211,201
211,202
212,202
208,200
212,202
209,201
210,202
210,201
211,201
210,200
210,200
210,200
211,201
211,202
211,201
210,201
209,201
212,203
209,200
209,199
208,201
210,202
210,200
212,200
209,201
212,203
211,201
212,204
209,200
209,201
206,200
210,200
208,199
208,198
208,200
208,199
211,201
212,203
209,200
211,202
212,202
210,203
209,200
210,201
212,201
212,203
