NaOH,NaCl,I1,I2,O2,Cl2
134.89,203,0.05,4,98.37,1.17
129.3,203.1,0.06,1.9,98.37,1.17
145.5,208.6,0.17,6.1,98.23,1.42
143.8,188.1,0.11,0.4,98.44,1.12
146.3,189.1,0.22,0.5,98.44,1.11
141.5,196.19,0.16,3.5,98.26,1.35
157.3,185.3,0.09,2.9,98.23,1.4
141.1,209.1,0.16,0.5,98.69,0.86
131.3,200.8,0.17,3.8,97.95,1.64
156.6,189,0.19,0.5,97.97,1.62
135.6,192.8,0.26,0.5,97.65,1.94
128.39,213.1,0.07,3.6,98.43,1.23
138.1,198.3,0.15,2.7,98.12,1.36
140.5,186.1,0.3,0.3,98.15,1.37
139.3,204,0.25,3.8,98.02,1.54
152.39,176.3,0.19,0.9,98.22,1.3
139.69,186.1,0.15,1.6,98.3,1.25
130.3,190.5,0.23,2.6,98.08,1.37
132.19,198.6,0.09,5.7,98.3,1.16
134.8,196.1,0.17,4.9,97.98,1.5
142.3,198.8,0.09,0.3,98.41,1
