X1,X2,X3,X4,X5,X6
74.95,74.95,10,26.22,29,0.07
74.95,75,10,26.2,29,0.08
74.93,75,10,26.18,29,0.05
74.93,75,10,26.18,29,0.08
74.95,75,10,26.2,29,0.09
74.95,75,10,26.2,29,0.1
74.94,75,10,26.2,29,0.13
74.02,75,10,26.3,29,0.05
74.95,75,10,26.22,29,0.07
74.94,75,10.04,26.22,29,0.05
74.95,74.97,10.06,26.3,29,0.05
74.95,74.75,10.04,26.2,29,0.06
74.96,74.75,10.04,26.2,29,0.1
74.94,74.99,10.06,26.2,29,0.12
74.93,74.98,10.06,26.2,29,0.12
74.92,74.99,10.08,26.2,29,0.05
74.93,74.98,10.06,26.18,29,0.05
74.92,74.96,10.06,26.24,29.04,0.06
74.93,74.99,10.08,26.2,29.04,0.03
74.92,74.99,10.1,26.1,29.08,0.12
74.93,74.98,10.1,26.16,29.06,0.08
74.93,74.99,10.04,26.16,29.06,0.08
74.92,74.97,10.06,26.16,29.06,0.1
74.92,74.97,10.04,26.22,29.08,0.04
74.93,74.99,10.06,26.14,28.98,0.15
74.92,74.98,10.06,26.16,28.98,0.1
74.91,74.98,10.04,26.2,29.02,0.04
