1 PC,2 PC,3PC,,1 PC,2 PC,3PC,,count,1 PC,2 PC,3PC,,rank,1 PC,2 PC,3PC
0.132275132,0.058302808,0.013089133,,0.216666667,0.085714286,0.018131868,,,8,14,18,,,0.285714286,0.5,0.642857143
0.291005291,0.021978022,0.014065934,,0.216666667,0.116071429,0.003296703,,,8,17,11,,,0.285714286,0.607142857,0.392857143
0.428571429,0.11965812,0.054163614,,0.45,0.157142857,0.090659341,,,22,21,27,,,0.785714286,0.75,0.964285714
0.402116402,0.202075702,0.003565324,,0.1,0.064285714,0.023076923,,,4,12,19,,,0.142857143,0.428571429,0.678571429
0.402116402,0.173382173,0.084639805,,0.3,0,0,,,12,4,4,,,0.428571429,0.142857143,0.142857143
0.476190476,0.231990232,0,,0.116666667,0,0,,,4,4,4,,,0.142857143,0.142857143,0.142857143
0.243386243,0.144688645,0.068131868,,0,0,0.000549451,,,2,4,8,,,0.071428571,0.142857143,0.285714286
0.481481481,0.095543346,0.040879121,,0.366666667,0.055357143,0,,,14,10,4,,,0.5,0.357142857,0.142857143
0.476190476,0.014957265,0.001904762,,0.416666667,0.221428571,0.012087912,,,18,25,15,,,0.642857143,0.892857143,0.535714286
0.465608466,0.17002442,0,,0.3,0.058928571,0.036263736,,,12,11,20,,,0.428571429,0.392857143,0.714285714
0.428571429,0.221611722,0.074090354,,0.366666667,0.121428571,0.04010989,,,14,18,20,,,0.5,0.642857143,0.714285714
0.465608466,0.141330891,0.053577534,,0.466666667,0.108928571,0.001098901,,,24,16,9,,,0.857142857,0.571428571,0.321428571
0.37037037,0.05952381,0.035995116,,0.45,0.157142857,0.034065934,,,22,21,19,,,0.785714286,0.75,0.678571429
0.481481481,0,0,,0.116666667,0,0,,,4,4,4,,,0.142857143,0.142857143,0.142857143
0.44973545,0.222832723,0.108669109,,0.466666667,0,0.001098901,,,24,4,9,,,0.857142857,0.142857143,0.321428571
0.214285714,0.021978022,0.001221001,,0.416666667,0.023214286,0,,,18,9,4,,,0.642857143,0.321428571,0.142857143
0.132275132,0.000915751,0.000634921,,,,,,,,,,,,,,
0.068783069,0.012210012,0.008498168,,,,,,,,,,,,,,
0,0,0.00019536,,,,,,,,,,,,,,
0.243386243,0.066239316,0.019194139,,,,,,,,,,,,,,
0.333333333,0.152930403,0.075115995,,,,,,,,,,,,,,
0.291005291,0.090659341,0.016214896,,,,,,,,,,,,,,
0,0,4.88E-05,,,,,,,,,,,,,,
0.198412698,0.084249084,0.008644689,,,,,,,,,,,,,,
0.333333333,0.115079365,0.00019536,,,,,,,,,,,,,,
0.37037037,0.026862027,0.00034188,,,,,,,,,,,,,,
0.44973545,0.206043956,0.003321123,,,,,,,,,,,,,,
0.068783069,0,0,,,,,,,,,,,,,,
