VAR1,VAR2
49.8585,60.0008
49.8768,59.9865
49.8706,60.0055
49.9117,60.0126
49.847,60.0165
49.8883,60.0216
49.9158,60.0517
49.9152,60.0673
49.9055,60.0726
49.8969,60.0208
49.9137,60.0928
49.8586,59.9823
49.9514,60.0866
49.8988,60.0402
49.8894,60.072
49.9403,60.0681
49.9132,60.035
49.8546,60.0145
49.8815,59.9982
49.8311,59.9963
49.8816,60.0457
49.8501,59.986
49.9778,60.0875
49.869,60.0159
49.8779,60.0055
49.868,60.0088
49.9388,60.0711
49.9133,60.0634
49.912,60.056
49.925,60.0749
49.9442,60.11
49.8386,59.9725
49.9492,60.1014
49.9204,60.0803
49.8994,60.0625
49.8703,60.0219
49.8846,60.0271
49.958,60.0878
49.8985,60.0329
49.9397,60.0826
49.8741,60.0061
49.914,60.0401
49.9501,60.081
49.8865,60.0169
49.8912,60.0406
49.9252,60.0532
49.9326,60.0741
49.968,60.1219
49.9289,60.0709
49.9233,60.0632
