PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
0.386571,0.159094,-0.00908,0.041848,0.288313,-0.219498,-0.116067,0.258502,0.189079,0.758422,0.029405
0.37611,-0.033853,-0.11029,0.239935,0.393323,0.173188,-0.306191,0.471826,-0.293762,-0.436783,0.097555
-0.202968,0.010093,-0.761316,0.139215,0.299886,0.362265,-0.022172,-0.239117,0.270846,0.08537,0.015431
-0.279313,0.425539,-0.121696,-0.04147,0.074963,-0.455679,-0.464059,0.020728,0.045526,-0.176021,-0.512125
-0.257456,0.386945,-0.368751,-0.13882,-0.182135,-0.146257,0.373371,0.4296,-0.407003,0.081572,0.279125
0.31018,0.368157,0.053997,0.211675,0.043273,0.119275,0.618076,0.071203,0.258246,-0.204638,-0.456916
0.285269,0.368253,-0.057748,0.306245,-0.457066,0.306802,-0.27267,-0.330688,-0.395642,0.194597,-0.068921
-0.138635,0.562948,0.315396,0.088606,0.111386,0.115099,-0.129225,-0.078661,0.378532,-0.167404,0.580252
0.269515,0.204093,-0.029923,-0.864819,0.102558,0.319548,-0.080957,-0.078235,-0.040767,-0.051584,-0.085284
0.341966,-0.10842,-0.336074,-0.074269,-0.591619,-0.180416,-0.159786,0.216481,0.483817,-0.203457,0.149701
0.370434,0.034089,-0.194418,-0.020901,0.222999,-0.552534,0.179934,-0.542953,-0.186063,-0.193043,0.263247
