Score 1,Score 2,Score 3,Score 4,Score 5,Score 6,Score 7,Score 8,Score 9,Score 10,Score 11
3.46792,-0.4184,0.14956,-0.06877,0.13497,-1.2939,-0.88512,0.27608,-0.76342,-0.14581,0.123606
2.6878,0.03638,-0.90243,-0.11505,-0.16087,-0.16912,-0.13712,0.66166,0.1971,0.16203,-0.09188
2.22352,-0.96181,-0.50653,0.42046,-0.38229,0.18663,-0.56217,-0.23068,-0.00951,0.17959,0.165751
1.22042,-1.66639,-0.31477,-0.12864,0.08677,0.49665,0.52744,0.03778,-0.36535,-0.26173,-0.133883
1.93336,-1.25065,-0.46865,0.04129,0.77793,-0.04329,0.38527,-0.20613,-0.04048,0.22052,0.164694
2.14273,-1.88236,0.88772,-0.17865,0.58195,-0.14049,-0.04879,0.84326,0.32174,-0.72204,0.315376
0.78093,-0.97976,-0.59153,-0.13486,0.54776,0.25295,0.97793,-0.20246,-0.40085,-0.2657,-0.266102
-0.13922,-0.53418,0.45371,0.08501,0.06708,1.02194,1.341,0.29628,0.77756,-0.06829,-0.232563
-1.8084,-0.85716,1.44499,-0.15462,-0.82011,-0.02604,-0.15379,0.2198,-0.34215,-0.25294,0.250171
-0.78023,1.2457,0.44562,0.44537,0.14836,0.72412,0.09905,-0.07159,0.79039,0.53065,0.306091
-0.89167,0.61274,0.53181,0.12864,-0.15423,-0.30634,-0.35326,-0.04778,1.23569,0.04162,-0.287211
-3.91192,-0.39028,-2.08062,-0.82001,0.76194,-0.54939,0.48801,-0.49487,-0.07147,0.05125,0.552384
-3.36732,-1.07574,-0.71212,-0.40908,-0.13942,0.5089,-0.60628,-0.21278,-0.19603,0.01081,-0.268841
-4.12941,-1.0816,-0.76328,-0.98413,-0.96294,0.32621,-0.35124,-0.64956,-0.50047,0.25528,-0.187072
-3.98326,-0.43421,-2.2158,-1.30017,-0.39676,0.02942,-0.34146,0.61356,-0.15381,0.26239,0.116298
1.69646,-1.67391,-0.48341,0.90217,1.01969,0.16161,-0.51254,1.12201,0.29576,1.22912,0.559047
2.53893,1.38633,-1.20462,1.28578,-1.40889,1.35103,-0.60909,-0.42631,-0.63264,0.42141,-0.070497
2.55311,1.06623,-0.94857,1.42574,-0.13172,0.66147,-0.38063,-0.12036,-0.0549,0.10924,-0.280653
3.41195,0.643,-0.88495,0.43999,0.57545,0.21389,-0.26349,-0.2557,-0.20889,-0.13677,-0.155837
1.98358,-1.09254,0.1467,-0.95666,-1.39894,-1.27954,0.43574,-1.35063,0.98147,1.02819,-0.272328
3.79083,0.53323,-1.22438,-0.37662,-0.29538,-0.62659,0.67968,0.0089,-0.25521,0.05202,0.099189
3.0921,3.60501,0.13136,-4.14646,0.61668,0.83979,-0.74646,-0.02792,-0.29131,0.05303,-0.151916
0.75395,1.86733,0.07075,0.15936,0.8355,0.51342,0.25858,-1.15477,0.34246,-0.54176,0.456688
0.23564,-2.00509,0.89554,-0.09861,-0.0892,-0.17622,0.30042,0.16454,-0.23416,0.27408,-0.500147
0.23232,4.82085,1.02485,0.39636,0.0163,0.24239,-0.44677,0.62076,0.49159,0.18473,-0.332321
-0.23225,-0.27314,1.44185,-0.87346,-0.63295,0.44375,0.64989,0.09346,-0.49303,0.34518,0.35592
-0.92849,2.3154,0.93185,1.21324,-0.12596,0.47841,-0.48937,-0.27462,-0.01268,-0.3137,0.308621
-2.27088,-0.07306,1.37107,0.374,0.95729,0.60616,-0.094,-0.14303,-0.16183,0.09742,-0.185297
-2.66321,0.28243,1.7855,0.09103,0.47754,0.46213,0.51781,0.1084,-0.17212,0.20691,0.160326
-1.85711,0.66043,0.7748,0.18081,-0.88121,0.02757,0.21814,0.85306,-0.38055,-0.1396,-0.295092
-2.54427,-0.64998,1.53438,0.30518,0.31319,0.21511,-0.11269,-0.12521,-0.74839,0.46329,-0.315663
-2.5779,0.11942,0.39186,-0.13033,-0.09567,-0.19582,0.06915,0.21655,0.11055,0.05464,-0.097428
-2.13457,1.48178,-0.33248,0.25282,0.16882,-1.22373,0.08297,-0.32824,0.48595,-0.26097,-0.276148
-2.71887,-0.10865,-1.46873,0.33911,2.13828,-0.26176,0.3194,-0.67379,-0.36549,0.06817,-0.131768
-2.49429,-1.91268,0.63664,0.3499,0.81523,-0.95441,-1.38797,-0.26162,0.35496,-0.26148,-0.370113
-4.00086,-0.02451,-0.85814,-0.24603,0.18705,0.21288,-1.215,0.29567,0.20625,-0.12641,-0.245365
2.51508,-0.909,-0.07053,0.44654,-0.31226,-0.09615,-0.04088,-0.18765,-0.02838,-0.69896,-0.173188
2.06417,-1.73098,0.5804,-0.15524,-0.15204,-0.15206,-0.11837,-0.19696,0.10232,-0.03546,0.083733
2.29071,0.4324,-1.18887,0.05386,0.14926,0.15575,-0.05346,0.72596,0.16068,-0.09238,-0.388264
