LYS,ARG ,ASP,SER, GLU,PRO,GLY,ALA,VAL,PHA,GABA 
1.515515595,1.81577863,-1.523494698,-0.218228708,-0.814233553,0.015465917,0.76205149,-0.909307169,0.582795921,1.219714901,1.8813192
1.383335287,1.205571802,-0.073038829,-0.450800362,-0.134729293,0.768965377,0.597129899,-0.724498353,0.738566259,1.566496589,0.756256058
0.72243375,0.911364939,0.019053607,-0.960668989,-1.018084831,-0.075867351,0.926973081,-0.840003863,0.115484906,1.219714901,0.727033638
-0.202828403,0.704330479,0.019053607,-1.372141916,-0.610382275,0.132894404,-0.227478057,-1.39443031,0.271255244,0.352760682,0.361753397
0.854614057,0.845985636,0.226261589,-1.246911026,-0.814233553,0.243799086,-0.227478057,-1.024812679,0.271255244,0.352760682,1.150758718
0.458073135,1.59784762,-1.201171172,-1.372141916,-1.425787388,0.106799185,-1.052086012,-0.678296149,0.271255244,0.872933214,0.464031865
-0.202828403,0.431916717,0.410446461,-0.924888735,-0.134729293,0.537370304,-0.392399648,-1.140318189,0.271255244,-0.167411849,0.697811219
-0.33500871,-0.352634919,0.180215371,-1.157460389,-0.270630145,1.098417521,-0.72224283,-0.031465294,-0.040285432,-0.167411849,-0.821754584
-1.260270863,-0.788496938,-1.178148063,-0.10194288,0.001171559,-1.100104712,-0.557321239,0.176444624,-0.663366785,-0.514193537,-1.113978777
0.325892827,-0.592359029,0.479515788,0.09484852,0.137072411,0.439513232,0.267286717,1.470106334,-0.196055771,-0.514193537,-0.821754584
0.061532212,-0.82118659,-0.003969502,0.926739438,-0.406530997,0.18182294,-0.392399648,0.938780989,-0.351826109,0.179369838,-0.631808858
-1.392451171,-1.551255473,2.390433839,0.989354883,1.835833062,-1.690509051,-1.876693968,-0.123869702,-0.507596447,-1.034366068,-0.061971682
-1.656811786,-1.104496903,1.308347714,0.747838165,0.408874115,-1.830770855,-0.887164421,-0.493487333,-0.507596447,-0.860975224,-1.479259018
-2.185533016,-2.172358851,1.14718595,0.783618419,0.952477523,-2.290699097,-0.72224283,-0.678296149,-0.351826109,-0.860975224,-1.508481437
-1.392451171,-1.366014115,2.045087203,1.266651856,2.175585192,-2.117818268,-1.381929194,-0.585891741,-0.040285432,-0.167411849,-1.523092647
2.044236825,1.510675216,0.43346957,-1.390032044,-0.814233553,-0.529271788,-0.392399648,-0.909307169,-0.663366785,0.526151526,-0.061971682
0.72243375,1.009433893,0.640677552,-0.540250998,0.069121985,0.980989034,3.400796947,-0.077667498,0.271255244,1.219714901,0.27408614
1.118974672,1.434399363,0.640677552,-0.218228708,-0.406530997,1.356107813,2.081424219,-0.008364192,-0.040285432,0.872933214,0.65397759
1.383335287,1.793985529,0.295330916,-0.432910235,-0.678332701,1.254988838,1.421737854,-0.354880722,0.894336597,0.872933214,1.574483798
0.986794365,-1.769186483,-0.878847645,-0.745987462,-1.221936109,0.145942014,0.267286717,-1.140318189,0.582795921,1.739887432,1.442982911
1.515515595,1.085709747,-0.28024681,-0.79071278,0.272973263,1.437655373,1.091894672,-0.886206067,1.205877274,1.739887432,2.129709764
1.647695902,0.682537378,-0.832801427,0.890959183,0.680675819,1.062536595,1.256816263,1.331499722,5.567446744,0.352760682,0.887756945
0.061532212,0.224882258,0.594631334,0.130628774,-0.202679719,1.124512741,0.76205149,1.678016252,0.738566259,-0.514193537,1.06309146
-0.070648095,-0.145600459,-0.947916972,-0.88910848,-0.950134405,-0.353129057,-0.72224283,-1.39443031,-0.351826109,-0.167411849,-0.251917408
1.25115498,0.126813303,-0.625593446,2.116432901,1.156328802,2.02479781,1.751581036,3.040981268,0.738566259,-0.514193537,-0.719476116
-0.33500871,-0.744910736,-1.339309826,-1.005394307,0.205022837,-0.206343448,-0.062556466,0.107141318,0.582795921,-0.514193537,-0.55875281
-0.33500871,-0.014841853,-0.142108156,0.971464756,0.340923689,0.521060792,1.256816263,2.186240495,-0.663366785,-0.860975224,-0.55875281
-0.731549633,-0.483393525,-0.026992611,0.327420174,-0.338580571,-0.509700374,-0.72224283,0.753972173,-0.663366785,-2.074711131,-1.216257244
-0.863729941,-1.05001415,-0.556524119,0.103793583,0.340923689,-0.362914764,-0.887164421,1.123589804,-0.663366785,-2.074711131,-1.406202969
-0.863729941,-0.625048681,-0.7637321,0.694167783,1.088378376,-0.026938815,-0.062556466,0.407455643,-0.663366785,-0.514193537,-1.435425389
-0.863729941,-0.908358994,-0.579547228,0.255859665,-0.134729293,-1.064223786,-0.557321239,0.037838012,-0.974907462,-2.074711131,-1.303924502
-0.863729941,-1.104496903,0.088122935,0.828343738,0.680675819,-0.669533592,-0.887164421,0.453657847,-0.663366785,-0.860975224,-1.099367567
-0.467189018,-1.137186554,0.525562006,1.99120201,0.952477523,0.113322989,-0.557321239,1.008084295,-0.819137123,-0.514193537,0.113362833
-0.599369326,-0.330841818,2.321364512,1.034080201,0.748626245,-0.728247836,-1.381929194,-0.123869702,-0.819137123,-2.074711131,0.332530978
-0.863729941,-0.428910772,0.111146044,1.177201219,-1.289886535,-2.010175488,-1.711772376,-0.354880722,-1.442218476,-0.860975224,-0.631808858
-1.392451171,-0.875669342,1.561601913,1.865971119,0.816576671,-1.853604172,-1.052086012,0.384354541,-0.663366785,-0.860975224,-1.844539259
0.19371252,1.172882151,-0.556524119,-0.853328226,-1.153985683,0.687417816,0.597129899,-0.863104965,0.115484906,1.219714901,1.07770267
0.458073135,0.584468424,-0.924893863,-1.300581407,-1.493737814,-0.11501018,-0.062556466,-1.001711577,0.271255244,0.872933214,0.741644848
1.118974672,1.390813161,0.410446461,-0.110887944,0.069121985,1.098417521,0.597129899,-0.608992843,0.738566259,1.219714901,0.522476703
0.458073135,0.213985707,-1.983956879,-0.316624408,-1.086035257,-0.402057594,0.267286717,0.638466663,-0.040285432,-0.514193537,-0.14963894
0.19371252,-0.254565964,-1.063032517,0.19324422,-0.542431849,0.622179767,0.432208308,1.19289311,1.205877274,-0.514193537,0.785478477
-0.731549633,-0.635945231,-0.395362355,0.425815874,0.476824541,-0.023676912,-0.72224283,0.546062255,-0.974907462,-0.514193537,-0.909421842
-0.599369326,-1.191669307,1.055093514,1.740740228,3.602544139,0.211180062,-0.392399648,1.054286499,-0.663366785,-0.514193537,-0.777920955
-1.656811786,-1.409600317,0.91695486,-0.254008962,-0.270630145,-1.778580416,-0.887164421,-0.632093945,-2.065299829,-0.167411849,-1.011700309
-0.202828403,0.519089121,-0.878847645,-1.77466978,-1.289886535,-0.711938324,-1.217007603,-1.071014883,0.738566259,1.219714901,-0.631808858
-0.467189018,-0.592359029,-0.970940081,0.130628774,0.272973263,0.511275085,0.597129899,0.615365561,-0.663366785,-0.860975224,0.098751624
-0.731549633,-0.483393525,-0.026992611,0.461596129,0.816576671,0.103537282,0.926973081,0.915679887,-0.663366785,-0.514193537,0.040306785
0.854614057,1.412606262,-0.165131265,-0.486580617,-0.746283127,0.400370403,1.421737854,-0.285577416,-0.040285432,1.219714901,0.931590573
1.77987621,1.140192499,0.801839315,-0.540250998,0.001171559,1.427869666,1.256816263,-0.608992843,0.894336597,1.566496589,2.056653716
0.590253442,1.292744206,-0.326293028,-0.629701635,-0.610382275,0.42320372,0.597129899,-1.140318189,0.427025582,1.566496589,1.574483798
-0.070648095,0.747916681,-0.142108156,-1.434757362,-1.018084831,-0.026938815,-0.557321239,-1.486834718,-0.196055771,-0.167411849,0.27408614
-0.070648095,0.290261561,0.226261589,-1.041174562,-0.066778867,0.63848928,-0.227478057,-1.071014883,-0.040285432,-0.167411849,-0.13502773
0.72243375,-0.265462515,-0.7637321,0.300584983,0.272973263,1.884536005,0.432208308,1.562510742,0.271255244,-0.167411849,0.303308559
-0.599369326,0.039640899,2.252295184,0.542101701,0.544774967,-0.506438471,-0.72224283,-0.077667498,-0.663366785,0.179369838,-0.777920955
-1.788992093,-1.104496903,1.492532586,1.230871601,1.69993221,-0.552105105,-0.062556466,0.730871071,-0.351826109,0.526151526,-0.850977003
-0.070648095,0.181296056,-1.224194281,-1.586823444,-1.697589092,-0.340081448,-0.72224283,-1.209621495,0.738566259,1.219714901,0.317919768
0.590253442,-0.025738404,-0.924893863,0.19324422,-0.474481423,-0.327033838,-0.062556466,0.823275479,0.271255244,-0.860975224,0.303308559
0.854614057,-0.036634954,-1.293263608,1.731795165,1.496080932,0.648274987,0.102365126,0.753972173,-0.663366785,-0.167411849,0.756256058
