Fuel,SteamFlow,SteamTemp,MegaWatts,CoolTemp,Pressure
234953,181678,843,20.84,54.5,29
247080,189354,844,20.86,54.4,28.9
238323,184419,845,21.1,54.5,28.9
248801,189169,843,22.18,54.5,28.9
246525,185511,842,21.21,54.6,28.9
233215,180409,845,20.75,54.5,29
233955,181323,842,20.82,54.6,29
238693,181346,844,20.92,54.8,29
248048,185307,844,21.15,54.6,29
233074,181411,844,20.93,54.5,29
242833,186216,844,21.59,54.4,29
243950,182147,844,21.37,54.2,29
238739,183349,844,21.01,54.3,29
251963,188012,850,21.68,54.4,29
240058,183372,846,21.15,54.2,29
235376,182436,844,20.99,54.3,29
