Score 1,Score 2,Score 3,Score 4,Score 5,Score 6
-1.0412,1.57302,2.3204,-3.1433,-0.0872,-0.0564
-3.3646,0.74917,3.82369,-2.9927,-0.8465,-1.2126
-2.2293,0.81394,4.12523,-3.4606,-0.1229,-0.1393
-4.6968,1.72201,4.07787,-2.7627,0.04615,0.48345
-3.2642,1.62385,3.77655,-3.7177,-0.978,-0.089
-0.4512,1.33023,2.70312,-2.8854,-0.0123,0.00706
-0.9439,1.99025,2.2853,-3.5706,-0.1201,-0.0079
-0.9017,2.76976,3.19048,-3.1312,-0.5677,0.11724
-2.3704,2.39415,2.98225,-2.1293,-0.9228,-0.2229
-0.8468,1.50026,2.53829,-3.0076,0.21003,0.07362
-2.7362,1.72116,2.63975,-1.9379,0.21371,0.128
-2.3367,0.70163,2.11218,-1.8006,-0.3344,0.5499
-1.7062,0.92113,2.22992,-2.3255,-0.054,-0.1299
-2.8709,1.60618,4.0861,-0.0738,-0.3046,-0.1034
-1.7723,0.47725,2.50444,-1.633,0.06243,0.01344
-1.3648,0.81814,2.18106,-2.5447,0.21152,-0.0196
