Fuel,Steam Flow,Steam Temp,MegaWatts,Cool Temp,Pressure
232666,178753,850,20.53,54.1,29.2
237813,177645,847,20.55,54.2,29.2
240825,177817,848,20.55,54,29.2
240244,178839,850,20.57,53.9,29.1
239042,177817,849,20.57,53.9,29.2
239436,177903,850,20.59,54,29.1
234428,177903,848,20.57,53.9,29.2
232319,177990,848,20.55,53.7,29.1
233370,177903,848,20.48,53.6,29.1
237221,178076,850,20.49,53.9,29.1
238416,177817,848,20.55,53.9,29.1
235607,177817,848,20.55,53.8,29.1
241423,177903,847,20.55,53.7,29.1
233353,177731,849,20.53,53.6,29.1
231324,178753,846,20.64,53.9,29.1
243930,187378,844,21.67,53.9,29.1
252550,187287,843,21.65,54.2,29.1
251166,187745,842,21.67,53.7,29.1
252597,188770,841,21.78,53.4,29.1
243360,179868,842,20.66,53.7,29.1
238771,181389,843,20.81,53.9,29.1
239777,181411,841,20.88,54,29.1
219664,167330,850,19.08,54.1,29.2
228634,176137,846,20.64,54,29.2
231514,176029,843,20.24,53.8,29.2
235024,176115,846,20.22,53.6,29.2
239413,176115,845,20.31,53.7,29.2
228795,176201,847,20.24,54.3,29.2
