Score 1,Score 2,Score 3,Score 4,Score 5,Score 6
1.53536,1.07965,0.44844,0.79502,0.542378,-0.22282
1.03332,1.71247,0.01248,0.26944,-0.2505,0.072586
0.74641,0.92042,-0.14897,0.93569,-0.41195,0.039526
0.1353,-0.46085,1.3374,0.40261,-0.32952,-0.07523
0.8705,0.44047,-0.14275,1.20045,-0.11124,0.034403
0.3745,-0.11246,1.51993,0.1956,-0.35748,0.107671
1.03603,0.42851,-0.39681,0.73808,0.351447,0.00672
0.32082,-1.29991,0.40562,-0.20612,0.46175,0.020056
0.22884,-1.70549,0.19383,-0.03589,0.333508,-0.04871
0.49271,-0.57425,1.28243,0.18406,-0.14166,-0.06276
0.14026,-0.41557,0.85756,-0.16181,-0.31308,0.094037
0.22486,-0.85725,0.63164,-0.17352,0.041503,0.073284
-0.38567,-1.08471,0.25373,0.07575,-0.557,0.106555
0.3282,-1.75751,0.42028,0.1896,0.403728,0.026981
0.16226,-0.33744,0.39956,-0.91268,0.528334,0.032937
-2.84067,0.74965,0.43892,0.00082,0.747948,-0.05459
-3.2028,2.13,0.89205,-0.17668,-0.39989,0.015086
-3.79826,0.22775,-0.34674,0.26514,0.037316,-0.04846
-4.52836,-0.78169,-1.12573,0.62837,0.193138,-0.07309
-1.4605,-0.6121,-0.77015,-0.78152,-0.69108,-0.00323
-1.15355,0.15315,-0.11549,-1.00006,-0.00934,-0.11397
-1.43705,0.71775,-0.32974,-1.48568,-0.18233,0.009511
5.02134,-0.16152,-0.17564,-0.8092,-0.32089,-0.14945
1.39911,0.80244,-0.70065,-0.17372,0.756442,0.393316
1.0225,0.0998,-1.82906,-0.52509,0.075347,-0.02621
0.98063,-0.8214,-1.55185,0.58401,-0.08865,-0.09722
0.58591,-0.25572,-1.51625,0.50297,-0.5694,0.06019
2.16799,1.77582,0.05597,-0.52564,0.261164,-0.11712
