LYS,ARG,ASP,SER,GLU,PRO,GLY,ALA,VAL,PHA,GABA
0.43,5.84,2.84,3.54,0.8,11.9,0.3,0.86,0.2,0.18,3.88
0.5,4.61,2.08,5.7,0.71,18.46,0.42,1.91,0.18,0.18,6.14
0.51,6.19,3.55,4.29,1.16,19.01,0.4,1.2,0.15,0.18,4.72
0.43,5.44,2.71,4.38,0.79,13.59,0.35,1.23,0.14,0.2,4.08
0.38,5.22,2.54,3.97,0.73,14.47,0.3,0.98,0.15,0.2,4.18
0.5,5.19,3.13,4.32,0.9,16.74,0.34,1.09,0.2,0.22,4.85
0.4,4.68,2.38,3.47,0.68,12.01,0.26,0.92,0.16,0.18,3.95
0.43,4.99,2.03,3.52,0.63,9.84,0.24,0.71,0.19,0.2,4.06
0.41,5.33,2.64,4.22,0.81,13.66,0.3,0.86,0.17,0.22,4.52
0.45,5.42,2.96,4.8,0.91,15.73,0.3,1.09,0.19,0.2,3.8
0.36,4.83,2.72,3.32,0.75,12.28,0.23,0.71,0.13,0.12,3.63
0.4,4.34,1.92,4.57,0.74,11.13,0.28,1.63,0.14,0.1,3.34
0.36,4.41,2.88,3.76,0.89,14.32,0.25,0.89,0.14,0.12,3.35
0.3,4.14,2.5,5.26,0.86,15.48,0.35,2.34,0.21,0.12,3.02
0.38,3.91,2.32,5.14,0.82,14.27,0.29,1.87,0.22,0.1,3.98
0.42,3.9,2.45,5.26,0.94,18.14,0.29,2.03,0.16,0.12,3.65
0.31,3.56,2.61,5.4,0.97,12.29,0.22,1.59,0.08,0.1,2.82
0.32,4.18,3.76,5.53,0.98,10.81,0.22,1.32,0.1,0.14,2.91
0.32,3.05,3.24,6.87,1.43,13.01,0.24,1.81,0.1,0.1,2.91
0.23,3.13,3.43,6.3,1.15,10.67,0.26,1.67,0.12,0.16,2.86
0.24,2.85,3.18,4.64,0.86,6.91,0.21,1.08,0.01,0.12,2.75
0.36,4.31,2.25,3.15,0.65,11.32,0.22,0.83,0.19,0.2,3.66
0.35,4.62,2.4,2.94,0.71,10.18,0.19,0.89,0.19,0.2,3.01
0.39,4.51,2.82,4,0.87,13.76,0.27,0.88,0.17,0.12,3.56
0.41,4.12,2.38,5.14,0.83,11.36,0.26,1.71,0.16,0.08,3.65
0.33,3.6,2.36,5.07,0.94,13.93,0.3,1.62,0.1,0.08,3.51
0.43,4.11,2.22,6.86,1.12,14.35,0.27,1.68,0.1,0.12,3.96
0.31,3.7,2.77,5.44,1.02,12.68,0.32,1.75,0.1,0.1,3.47
0.36,3.64,2.21,6.56,1.02,15.53,0.39,1.96,0.1,0.1,3.07
0.27,3.25,2.82,4.92,0.91,8.43,0.2,1.53,0.1,0.01,2.32
0.28,2.91,3.21,6.41,1.35,9.42,0.22,1.8,0.12,0.01,2.85
0.3,3.64,2.73,5.76,0.73,5.55,0.2,0.94,0.05,0.05,3.14
0.28,2.68,3.61,6.38,1.06,6.94,0.22,1.22,0.11,0.11,2.71
