A,B,C,D,E,F,G,H
7.6228,0.034933,7.619233,0.043767,0.015967,10.773633,0.016167,0.016967
7.620267,0.067133,7.6119,0.063,0.048633,10.735267,0.020967,0.0196
7.620967,0.090533,7.6145,0.095833,0.053167,10.765933,0.0194,0.020133
7.6194,0.052767,7.607233,0.067767,0.031933,10.702067,0.019967,0.0207
7.617867,0.075567,7.609533,0.033467,0.051167,10.7154,0.019667,0.020767
7.618633,0.0926,7.614867,0.111133,0.057233,10.7098,0.0182,0.019667
7.614633,0.071733,7.608867,0.055933,0.0184,10.7197,0.019767,0.020167
7.617933,0.086933,7.607833,0.0762,0.023567,10.688367,0.019667,0.021233
7.616167,0.107667,7.611533,0.0747,0.0272,10.709867,0.021367,0.021167
7.6123,0.096167,7.6149,0.069367,0.027467,10.697233,0.019667,0.020433
7.6134,0.089067,7.618333,0.108433,0.050333,10.694833,0.020233,0.021167
7.614133,0.100833,7.618367,0.097367,0.044067,10.6977,0.018933,0.021133
7.620733,0.067367,7.6166,0.076267,0.032,10.713433,0.022167,0.0192
7.621767,0.0664,7.619533,0.0843,0.045633,10.744067,0.019933,0.020933
7.619567,0.1046,7.617633,0.0733,0.0513,10.712967,0.0207,0.020867
7.6189,0.0423,7.6136,0.052267,0.018333,10.721133,0.020667,0.021
7.615733,0.027967,7.618533,0.035233,0.025667,10.678367,0.020467,0.020433
7.619467,0.057033,7.615967,0.036267,0.023433,10.7369,0.019967,0.020733
7.618967,0.0875,7.6135,0.056767,0.0363,10.728433,0.0193,0.0179
7.618867,0.052933,7.6189,0.065267,0.022967,10.713033,0.0184,0.019033
7.617233,0.095967,7.623567,0.098,0.046,10.697333,0.0168,0.015367
7.6172,0.072933,7.613,0.071967,0.016567,10.6871,0.018233,0.016833
7.613233,0.087067,7.618033,0.075367,0.0462,10.7249,0.017867,0.019033
7.6197,0.0787,7.615533,0.0488,0.055667,10.732933,0.018067,0.020367
7.6164,0.0651,7.6166,0.076733,0.036233,10.708367,0.0184,0.0199
7.622567,0.098667,7.622233,0.102,0.057333,10.736,0.020433,0.0198
7.627033,0.068,7.6192,0.070467,0.047467,10.7589,0.016733,0.0194
7.628033,0.056167,7.6219,0.111667,0.033467,10.781667,0.019167,0.0203
7.6283,0.1134,7.619467,0.0749,0.045733,10.785067,0.019933,0.019833
7.626333,0.0915,7.619333,0.060533,0.038667,10.8036,0.021767,0.017433
7.624533,0.039567,7.6207,0.0716,0.03,10.7589,0.019,0.021333
7.626367,0.051067,7.621167,0.048167,0.013933,10.705267,0.018867,0.021933
7.627567,0.087333,7.6204,0.081333,0.040233,10.7425,0.018433,0.0216
7.6213,0.077567,7.6216,0.11,0.039833,10.742167,0.018267,0.021133
7.619533,0.090667,7.620333,0.0687,0.027033,10.803533,0.0186,0.0191
7.619533,0.102233,7.621233,0.117433,0.027067,10.736667,0.019133,0.0195
7.618733,0.112133,7.6174,0.093633,0.0225,10.7486,0.019233,0.0182
7.621567,0.083733,7.6164,0.1009,0.0381,10.7859,0.018267,0.020533
7.622233,0.064,7.619567,0.0716,0.040833,10.7283,0.019267,0.0188
7.624467,0.0699,7.613433,0.0528,0.044367,10.7216,0.019333,0.0208
7.618267,0.0921,7.615733,0.0476,0.0455,10.710833,0.019367,0.0161
7.619567,0.1397,7.6089,0.028933,0.068167,10.722467,0.019967,0.019333
7.6226,0.0719,7.613867,0.045567,0.049767,10.721467,0.020433,0.019333
7.6195,0.111467,7.615967,0.081667,0.045053,10.748267,0.020167,0.017567
7.615967,0.095867,7.614267,0.117333,0.041933,10.701933,0.021233,0.0196
7.620767,0.097867,7.618233,0.100867,0.0394,10.748567,0.020367,0.020233
7.617967,0.0914,7.6158,0.1144,0.030633,10.729867,0.020633,0.019433
7.6172,0.0729,7.613967,0.0961,0.0687,10.746967,0.0196,0.018333
7.619733,0.063,7.6141,0.105967,0.0489,10.7694,0.020467,0.018533
7.6191,0.0727,7.6168,0.097,0.035367,10.761533,0.018267,0.016767
7.622067,0.047033,7.620067,0.110567,0.052467,10.7347,0.018167,0.016233
7.6235,0.104867,7.621467,0.100533,0.0304,10.7001,0.018333,0.018033
7.617533,0.100433,7.618833,0.082033,0.035933,10.704533,0.016933,0.017533
7.617933,0.0982,7.617767,0.0912,0.032267,10.723,0.019133,0.0208
7.615267,0.1065,7.6127,0.113633,0.0405,10.7039,0.0164,0.014433
7.6184,0.088967,7.613533,0.063767,0.040567,10.6872,0.017433,0.0177
7.6222,0.098033,7.6177,0.094033,0.020433,10.6876,0.0203,0.0193
7.6203,0.1294,7.620533,0.106667,0.024033,10.684333,0.0197,0.019333
7.619367,0.118567,7.614933,0.103247,0.026133,10.6827,0.0199,0.019533
7.624167,0.1136,7.615867,0.0517,0.0403,10.8581,0.019767,0.020433
7.617533,0.133567,7.6133,0.0952,0.029667,10.677167,0.020233,0.019167
