X1,X2,X3,X4,X5,X6
0.090533,0.095833,0.053167,10.765933,0.0194,0.020133
0.0926,0.111133,0.057233,10.7098,0.0182,0.019667
0.107667,0.0747,0.0272,10.709867,0.021367,0.021167
0.100833,0.097367,0.044067,10.6977,0.018933,0.021133
0.1046,0.0733,0.0513,10.712967,0.0207,0.020867
0.057033,0.036267,0.023433,10.7369,0.019967,0.020733
0.095967,0.098,0.046,10.697333,0.0168,0.015367
0.0787,0.0488,0.055667,10.732933,0.018067,0.020367
0.068,0.070467,0.047467,10.7589,0.016733,0.0194
0.0915,0.060533,0.038667,10.8036,0.021767,0.017433
0.087333,0.081333,0.040233,10.7425,0.018433,0.0216
0.102233,0.117433,0.027067,10.736667,0.019133,0.0195
0.064,0.0716,0.040833,10.7283,0.019267,0.0188
0.1397,0.028933,0.068167,10.722467,0.019967,0.019333
0.095867,0.117333,0.041933,10.701933,0.021233,0.0196
0.0729,0.0961,0.0687,10.746967,0.0196,0.018333
0.047033,0.110567,0.052467,10.7347,0.018167,0.016233
0.0982,0.0912,0.032267,10.723,0.019133,0.0208
0.098033,0.094033,0.020433,10.6876,0.0203,0.0193
0.1136,0.0517,0.0403,10.8581,0.019767,0.020433
